seniority,department,position,organization
Lead,Information Technology,Head Of RIV Academy - Blockchain,RIV Technologies
Senior,Information Technology,Software Architect,PROXORA Compliance Management. Next Level.
Professional,Other,Product and Service Manager Qualitymanagement; Solution architect,Bosch
Management,Other,Geschäftsführender Inhaber,Baumanu GmbH & Co. KG
Lead,Other,Team/Bereichsleiter,B+S GmbH Logistik und Dienstleistungen
Professional,Other,Elektrotechniker mit erweitertem Aufgabenbereich,B&S Sicherheits- und Elektrotechnik GmbH
Management,Other,(gedelegeerd) Business owner,Belastingdienst
Professional,Sales,"Regional Sales Manager, Central European Region",MSA - The Safety Company
Management,Other,Mitglied der Geschäftsleitung,ASH Adolf Schlünder Handelsagentur GmbH & Co. KG
Management,Other,Chief Transformation Officer,CONTACT Software
Management,Other,General Manager:in,C.H. Robinson Worldwide GmbH
Professional,Other,Summoner,Stealth Startup
Professional,Other,Professeur de Mathématique particulier,Indépendant
Lead,Business Development,Business Development Leader,Teledyne DALSA
Management,Other,Mitgründerin,Kulturliebekoeln
Management,Other,Eigenaar,Robert Fink Media
Professional,Sales,Automotive Sales Manager,ThyssenKrupp Steel Europe AG
Professional,Other,Personal Trainer,MOVATI Athletic
Management,Other,Geschäftsführer,ederIT.com
Professional,Other,cultivation,Holistic Industries
Professional,Other,Pensionär,kein
Professional,Other,Supply Chain Manager,Flevorubber Extrusion B.V.
Management,Other,Member Board Of Directors,Vereinigte Füllkörper-Fabriken GmbH & Co. KG
Management,Human Resources,"Vice President, Human Resources, Health & Security Subscription Services (H3S), North Americas",International SOS
Professional,Other,Transport Manager,Pembrokeshire County Council
Management,Other,Président CCRG Hauts de France,habitA+
Director,Sales,"Key Account Director Europe, Middle East & Africa",Vertiv Co
Professional,Information Technology,Softwareentwickler,cooee GmbH
Professional,Information Technology,Radio Engineering @ TDI | Huawei SRAN & Mobile Network Testing,Deutsche Telekom
Senior,Purchasing,Advanced Purchasing - Commercial Vehicles and Services,Continental
Management,Sales,Owner - CSO,Lumiére Group A/S
Professional,Project Management,Site Manager,Voi Technology
Management,Consulting,"SAP Consultant, Geschäftsführer, Gesellschafter",STELACON GmbH
Professional,Purchasing,"Buying, Porecurement & Allocation",bonprix
Management,Other,Kanzler der deutschen Assoziation,Malteserorden
